IP;BAN_DATE;UNBAN_DATE;REASON
5.101.222.125;1473394082;1475986082;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.127;1473433142;1476025142;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.102.253.36;1474627562;1475232363;"Брутфорс атака на сайт data-hub.com.ua/Brute force attack on site data-hub.com.ua"
5.107.99.157;1474791781;1474878185;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.107.149.163;1474306922;1474911724;"Паразитный трафик на сайт desplus.com.ua / Parasite traffic on site desplus.com.ua"
5.128.21.108;1474443122;1475047922;"Брутфорс атака на сайт smart-ardt.com/Brute force attack on site smart-ardt.com"
5.129.189.53;1474614362;1475219162;"Брутфорс атака на сайт sssanders.net/Brute force attack on site sssanders.net"
5.134.111.31;1474306922;1476898924;"Паразитный трафик на сайт desplus.com.ua / Parasite traffic on site desplus.com.ua"
5.135.108.190;1474806722;1474893122;"Брутфорс атака на сайт spymobile.bid/Brute force attack on site spymobile.bid"
5.135.153.90;1474303039;1476895039;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
5.135.167.84;1473207962;1475799962;"Брутфорс атака на сайт allrent.com.ua/Brute force attack on site allrent.com.ua"
5.135.193.144;1474809721;1474896121;"Брутфорс атака на сайт atp17442.net.ua/Brute force attack on site atp17442.net.ua"
5.135.246.3;1473807542;1476399543;"Паразитный трафик на сайт appartamento.com.ua / Parasite traffic on site appartamento.com.ua"
5.139.22.207;1474800361;1474886762;"Брутфорс атака на сайт footbet.pro/Brute force attack on site footbet.pro"
5.139.30.55;1474813801;1474900202;"Брутфорс атака на сайт florence.kiev.ua/Brute force attack on site florence.kiev.ua"
5.139.223.72;1474743361;1474829764;"Паразитный трафик на сайт lylka.com / Parasite traffic on site lylka.com"
5.140.162.108;1474759442;1474845845;"Брутфорс атака на сайт jobinukraine.com/Brute force attack on site jobinukraine.com"
5.141.8.11;1474804922;1474891324;"Брутфорс атака на сайт olegshpachuk.com/Brute force attack on site olegshpachuk.com"
5.141.177.125;1474758301;1474844703;"Брутфорс атака на сайт sultan-gardens.com/Brute force attack on site sultan-gardens.com"
5.141.213.77;1474811942;1474898349;"Паразитный трафик на сайт dimka.net.ua / Parasite traffic on site dimka.net.ua"
5.144.32.144;1474531382;1477123384;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
5.144.130.18;1474389483;1476981485;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
5.152.40.141;1474475582;1475080382;"Паразитный трафик на сайт vsevsporte.net / Parasite traffic on site vsevsporte.net"
5.153.238.153;1474785241;1474871642;"Брутфорс атака на сайт first-lastivka.if.ua/Brute force attack on site first-lastivka.if.ua"
5.156.199.4;1474818901;1474905303;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.157.40.110;1474757462;1474843864;"Брутфорс атака на сайт pokupka.lviv.ua/Brute force attack on site pokupka.lviv.ua"
5.157.40.140;1474756442;1474842845;"Брутфорс атака на сайт pokupka.lviv.ua/Brute force attack on site pokupka.lviv.ua"
5.160.243.253;1474741921;1477333921;"Брутфорс атака на сайт ero-zone.in.ua/Brute force attack on site ero-zone.in.ua"
5.166.251.15;1474789202;1474875602;"Брутфорс атака на сайт florence.kiev.ua/Brute force attack on site florence.kiev.ua"
5.167.20.170;1474743361;1474829764;"Паразитный трафик на сайт lylka.com / Parasite traffic on site lylka.com"
5.172.44.62;1474812182;1474898582;"Брутфорс атака на сайт workstationideas.com/Brute force attack on site workstationideas.com"
5.175.40.50;1473618183;1476210185;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
