IP;BAN_DATE;UNBAN_DATE;REASON
1.186.76.12;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.76.34;1468054323;1468140725;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.186.76.118;1468040883;1468127294;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.186.77.111;1468004522;1468090924;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
1.186.78.119;1467999062;1468085466;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.186.79.113;1468006081;1468092484;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.186.126.70;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.126.220;1467993782;1468080182;"Брутфорс атака на сайт teplodar.info/Brute force attack on site teplodar.info"
2.28.129.148;1467988350;1468074759;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.40.203.32;1468000323;1468086726;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
2.49.219.131;1467988350;1468074759;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.50.222.70;1467988350;1468074759;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.50.227.162;1467988350;1468074759;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.51.154.154;1467988350;1468074759;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.51.221.153;1468005783;1468092185;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.51.234.56;1467988350;1468074759;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.60.150.155;1468040883;1468127294;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.61.214.88;1468017781;1468104184;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
2.62.23.134;1468047422;1468133826;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.62.180.178;1467988350;1468074759;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.71.148.78;1468054323;1468140725;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
2.80.242.246;1467988350;1468074757;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.84.250.74;1468017781;1468104184;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
2.85.3.65;1467993542;1468079943;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
2.88.137.135;1468027022;1468113427;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
2.91.168.117;1467988350;1468074757;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.92.88.102;1467988350;1468074757;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.103.15.248;1468055462;1468141865;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
2.116.184.82;1467988350;1468074767;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.132.42.71;1467988350;1468074762;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.132.66.136;1467988350;1468074762;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.132.84.74;1467988350;1468074762;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.132.85.92;1468059062;1468145464;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
2.132.85.196;1467988350;1468074762;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.132.159.79;1467988350;1468074762;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.132.179.91;1468053542;1468139945;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.132.181.202;1467992582;1468078985;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.132.186.109;1467988350;1468074762;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.132.187.214;1467980582;1468066985;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.132.233.8;1468034822;1468121224;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.132.235.17;1468047002;1468133406;"Паразитный трафик на сайт coral-club24.com / Parasite traffic on site coral-club24.com"
2.132.236.28;1468006081;1468092484;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
2.134.186.47;1467988350;1468074762;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.134.197.151;1467985802;1468072204;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.134.254.215;1467992582;1468078985;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.135.38.23;1467985802;1468072204;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.135.54.249;1468064703;1468151106;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.135.61.44;1467988350;1468074761;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.135.99.40;1468064703;1468151106;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.146.102.63;1468018263;1468104665;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
2.178.87.46;1467988350;1468074761;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.178.154.123;1467988350;1468074761;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.179.1.215;1467988350;1468074761;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.180.115.88;1468020423;1468106829;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
2.181.31.142;1465665902;1468257902;"Паразитный трафик на сайт xn----7sbgzai2aonly0g.com / Parasite traffic on site xn----7sbgzai2aonly0g.com"
2.182.0.14;1467988350;1468074761;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.182.68.111;1468034942;1468121344;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
2.191.135.4;1468013402;1468099817;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
2.191.141.70;1467988350;1468074761;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.217.148.74;1468053962;1468140362;"Брутфорс атака на сайт referatoid.ru/Brute force attack on site referatoid.ru"
2.219.70.123;1467988350;1468074760;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
2.219.242.93;1468061402;1468147803;"Брутфорс атака на сайт referatoid.ru/Brute force attack on site referatoid.ru"
2.229.50.183;1468047961;1468652763;"Паразитный трафик на сайт dgfinance.com.ua / Parasite traffic on site dgfinance.com.ua"
5.0.21.226;1468000323;1468086726;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
5.0.129.251;1467997802;1468084204;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
5.1.109.135;1467980582;1468066985;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
5.2.137.67;1467874442;1468479246;"Паразитный трафик на сайт evgeniygluzd.com / Parasite traffic on site evgeniygluzd.com"
